"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"COM00080110","OLAYA HERRERA, CO","2000-01-27","22.1","22.3",,"16.0"
"COM00080110","OLAYA HERRERA, CO","2000-02-22","1.0","21.5",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2000-03-08",,"21.4",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2000-03-12",,"22.8",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2000-03-13","0.5","19.8",,
"COM00080110","OLAYA HERRERA, CO","2000-04-09",,"23.7",,
"COM00080110","OLAYA HERRERA, CO","2000-04-12","5.1","20.4",,"18.1"
"COM00080110","OLAYA HERRERA, CO","2000-04-17","5.1","21.5",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2000-05-20","7.9","22.2",,"17.5"
"COM00080110","OLAYA HERRERA, CO","2000-06-03","2.0","25.1",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2000-06-09","5.1","21.2",,
"COM00080110","OLAYA HERRERA, CO","2000-06-13",,"20.0",,
"COM00080110","OLAYA HERRERA, CO","2000-06-14","4.1","23.9",,"17.5"
"COM00080110","OLAYA HERRERA, CO","2000-06-15","6.1","23.5",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2000-07-10",,"24.9",,
"COM00080110","OLAYA HERRERA, CO","2000-07-11",,"24.5",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2000-07-12",,"24.9",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2000-07-14","3.0","20.6",,"16.7"
"COM00080110","OLAYA HERRERA, CO","2000-07-15","22.1","21.9",,"15.8"
"COM00080110","OLAYA HERRERA, CO","2000-07-16","0.0","24.4",,
"COM00080110","OLAYA HERRERA, CO","2000-07-17",,"23.3",,
"COM00080110","OLAYA HERRERA, CO","2000-07-18","4.1","22.3",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2000-07-19","0.0","20.6",,
"COM00080110","OLAYA HERRERA, CO","2000-07-20","3.0","20.4",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2000-07-21","23.1","20.6",,"16.4"
"COM00080110","OLAYA HERRERA, CO","2000-10-03","7.1","21.7",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2000-11-21",,"23.8",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2000-11-26",,"24.8",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2000-11-27",,"23.3",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2000-12-12","0.5","23.9",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2000-12-13","0.8","24.6",,"17.7"
"COM00080110","OLAYA HERRERA, CO","2000-12-14","0.0","23.2",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2000-12-15",,"21.1",,
"COM00080110","OLAYA HERRERA, CO","2000-12-16","20.1","20.4",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2000-12-17","2.0","21.4",,"16.9"
"COM00080110","OLAYA HERRERA, CO","2000-12-18","10.9","21.0",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2000-12-19","7.1","20.0",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2000-12-20","6.1","20.6",,"15.0"
"COM00080110","OLAYA HERRERA, CO","2000-12-21","0.8","23.5",,"16.9"
"COM00080110","OLAYA HERRERA, CO","2000-12-22","0.0","23.3",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2000-12-23","0.0","25.2",,
"COM00080110","OLAYA HERRERA, CO","2000-12-24",,"24.8",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2000-12-25",,"21.0",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2000-12-26",,"23.4",,
"COM00080110","OLAYA HERRERA, CO","2000-12-27",,"20.7",,
"COM00080110","OLAYA HERRERA, CO","2000-12-28",,"23.4",,
"COM00080110","OLAYA HERRERA, CO","2000-12-29","6.1","20.8",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2000-12-30","23.9","22.2",,"16.6"
"COM00080110","OLAYA HERRERA, CO","2000-12-31","2.0","21.9",,"16.0"
"COM00080110","OLAYA HERRERA, CO","2001-01-01",,"25.3",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-01-02",,"23.7",,"16.4"
"COM00080110","OLAYA HERRERA, CO","2001-01-03",,"23.3",,"16.4"
"COM00080110","OLAYA HERRERA, CO","2001-01-04",,"22.5",,"16.5"
"COM00080110","OLAYA HERRERA, CO","2001-01-06","6.1","22.6",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-01-07","0.0","21.9",,"17.7"
"COM00080110","OLAYA HERRERA, CO","2001-01-08",,"23.4",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-01-09",,"24.2",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2001-01-10","7.9","20.0",,"16.0"
"COM00080110","OLAYA HERRERA, CO","2001-01-11","2.0","21.1",,"17.3"
"COM00080110","OLAYA HERRERA, CO","2001-01-22",,"20.1",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-01-24","13.0","20.7",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2001-01-25","4.1","23.8",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2001-02-07",,"23.2",,"16.0"
"COM00080110","OLAYA HERRERA, CO","2001-02-08",,"21.9",,"16.6"
"COM00080110","OLAYA HERRERA, CO","2001-02-20","3.0","21.9",,
"COM00080110","OLAYA HERRERA, CO","2001-02-24","6.1","20.9",,
"COM00080110","OLAYA HERRERA, CO","2001-02-26","0.8","20.7",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-02-28","3.0","21.8",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-03-01","6.1","20.7",,"16.4"
"COM00080110","OLAYA HERRERA, CO","2001-03-04","2.0","22.8",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2001-03-07",,"22.9",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2001-03-08","0.8","23.0",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2001-03-09","0.0","24.7",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2001-03-11","3.0","21.8",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2001-03-12","0.0","24.1",,"16.4"
"COM00080110","OLAYA HERRERA, CO","2001-03-13",,"21.9",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-03-15","0.3","21.9",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-03-18","4.1","20.8",,"17.7"
"COM00080110","OLAYA HERRERA, CO","2001-03-19","13.0","20.6",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2001-03-24","0.8","21.4",,"17.7"
"COM00080110","OLAYA HERRERA, CO","2001-03-26","5.1","24.0",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-03",,"24.9",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-04",,"21.0",,"18.6"
"COM00080110","OLAYA HERRERA, CO","2001-04-06","16.0","25.6",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-12","3.0","23.2",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-13","7.1","23.3",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2001-04-15","8.9","22.1",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-28","0.5","22.7",,
"COM00080110","OLAYA HERRERA, CO","2001-04-29","0.0","24.7",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2001-05-01",,"25.1",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2001-05-02",,"22.4",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2001-05-04","0.5","21.8",,"18.5"
"COM00080110","OLAYA HERRERA, CO","2001-05-08","5.1","19.7",,
